,Loss
0,3.840947151184082
1,3.2893195152282715
2,3.43013596534729
3,3.448146343231201
4,2.418287754058838
5,2.50992488861084
6,2.4169068336486816
7,1.5934010744094849
8,1.8138482570648193
9,1.8004729747772217
10,1.422529935836792
11,1.5467145442962646
12,1.12299382686615
13,1.026746392250061
14,1.0058069229125977
15,1.1527342796325684
16,1.045424222946167
17,1.1552163362503052
18,0.9901283979415894
19,0.6894562840461731
20,1.3882620334625244
21,1.1133942604064941
22,1.5340667963027954
23,0.9311231374740601
24,1.1143407821655273
25,1.0813052654266357
26,0.9761931300163269
27,1.1607416868209839
28,1.2746326923370361
29,1.2633665800094604
30,1.1555869579315186
31,2.041116714477539
32,1.8776434659957886
33,1.8296854496002197
34,1.9090501070022583
35,1.8473070859909058
36,1.7874221801757812
37,1.356716513633728
38,1.3723300695419312
39,1.443507432937622
40,1.3079148530960083
41,1.4743192195892334
42,1.5288958549499512
43,1.1900769472122192
44,1.4384350776672363
45,1.4919703006744385
46,0.5996778011322021
47,0.7527226805686951
48,0.6698686480522156
49,0.6797173619270325
50,0.8234316110610962
51,0.5025123953819275
52,2.9534459114074707
53,2.7639365196228027
54,2.8550212383270264
55,2.487480878829956
56,2.6357293128967285
57,3.1152353286743164
58,2.8505048751831055
59,3.2151870727539062
60,2.937168836593628
61,2.9405598640441895
62,2.2087063789367676
63,2.0141451358795166
64,1.9313868284225464
65,2.0998451709747314
66,2.1094605922698975
67,2.1509244441986084
68,1.785649299621582
69,1.6770312786102295
70,1.5429887771606445
71,2.008916139602661
72,1.638649582862854
73,1.1317615509033203
74,1.1173123121261597
75,0.8377042412757874
76,0.8179114460945129
77,4.485251426696777
78,2.144680976867676
79,2.3220865726470947
80,2.0488510131835938
81,2.0113322734832764
82,1.8972755670547485
83,1.6431200504302979
84,1.6548094749450684
85,1.48643159866333
86,1.8677639961242676
87,1.2275218963623047
88,0.5789022445678711
89,0.8471149802207947
90,0.7785295844078064
91,0.7446132898330688
92,1.5845824480056763
93,1.0707182884216309
94,5.642529010772705
95,1.887786865234375
96,1.887101411819458
97,2.005021810531616
98,2.0484471321105957
99,2.0214202404022217
100,1.641383171081543
101,1.64305579662323
102,1.5957050323486328
103,1.5605711936950684
104,1.6296244859695435
105,1.6624053716659546
106,1.6209877729415894
107,1.6671644449234009
108,1.5026293992996216
109,1.695460557937622
110,1.697150707244873
111,1.6932460069656372
112,1.594596266746521
113,1.6139516830444336
114,1.63828444480896
115,1.6504496335983276
116,1.5805155038833618
117,1.6583337783813477
118,1.6168409585952759
119,1.5099868774414062
120,1.8766080141067505
121,1.8880318403244019
122,1.9445546865463257
123,1.9782545566558838
124,1.883591890335083
125,1.9208790063858032
126,1.9684702157974243
127,1.8265161514282227
128,2.0855164527893066
129,1.9847084283828735
130,1.9390696287155151
131,2.28352427482605
132,2.042523145675659
133,2.1431021690368652
134,2.1463494300842285
135,2.1380319595336914
136,2.090689182281494
137,2.187314987182617
138,2.1380066871643066
139,2.208489418029785
140,2.254786491394043
141,2.1047403812408447
142,2.0777640342712402
143,3.1969990730285645
144,3.254223108291626
145,3.362478256225586
146,3.2273645401000977
147,3.1939821243286133
148,3.3705105781555176
149,3.267331123352051
150,3.104891061782837
151,3.3742547035217285
152,3.382327079772949
153,3.4855165481567383
154,3.420962333679199
155,1.0211009979248047
156,1.0339986085891724
157,1.0981166362762451
158,2.488978624343872
159,2.549027681350708
160,2.597076416015625
161,2.424232006072998
162,2.397583246231079
163,2.542196035385132
164,2.5451834201812744
165,2.5282907485961914
166,2.3673653602600098
167,2.5309691429138184
168,2.4781646728515625
169,2.211886405944824
170,1.9075382947921753
171,1.5780483484268188
172,2.1109461784362793
173,1.767139196395874
174,1.6174249649047852
175,2.2947609424591064
176,1.1964490413665771
177,1.84064519405365
178,2.0392744541168213
179,1.82607901096344
180,1.7092562913894653
181,1.2207579612731934
182,1.0579078197479248
183,0.9178097248077393
184,6.657222270965576
185,5.596273422241211
186,2.3600597381591797
187,2.2566699981689453
188,2.3016533851623535
189,2.312640905380249
190,1.6101250648498535
191,1.6455104351043701
192,1.6722978353500366
193,1.64778470993042
194,1.5260236263275146
195,1.6765402555465698
196,2.444758892059326
197,2.537203788757324
198,2.4085185527801514
199,2.324479818344116
200,2.45676851272583
201,2.53249454498291
202,3.2663402557373047
203,3.2018117904663086
204,3.1871249675750732
205,3.2294178009033203
206,3.2155909538269043
207,3.2450881004333496
208,3.227015733718872
209,3.184032917022705
210,3.325730085372925
211,2.98730206489563
212,2.8566439151763916
213,2.8309943675994873
214,1.0564500093460083
215,1.0881779193878174
216,1.139635682106018
217,1.1925654411315918
218,1.0617554187774658
219,1.1069618463516235
220,1.7988269329071045
221,1.938724160194397
222,1.7142860889434814
223,1.776538372039795
224,1.8396273851394653
225,1.7868750095367432
226,1.8003250360488892
227,1.8350880146026611
228,1.830098032951355
229,1.7682090997695923
230,1.686448335647583
231,1.8816368579864502
232,2.234496593475342
233,2.1216440200805664
234,2.2305686473846436
235,2.1754872798919678
236,2.2576098442077637
237,2.1146721839904785
238,2.201511859893799
239,2.1330838203430176
240,2.088308811187744
241,2.1978139877319336
242,2.210698127746582
243,2.1950197219848633
244,1.3228275775909424
245,1.3850560188293457
246,1.42172372341156
247,1.2948205471038818
248,1.4073736667633057
249,1.4403181076049805
250,2.338129758834839
251,2.369234800338745
252,2.1586642265319824
253,2.348205804824829
254,2.124645709991455
255,2.2587180137634277
256,2.311894416809082
257,2.3092029094696045
258,2.7610890865325928
259,2.909057378768921
260,2.9039740562438965
261,2.8813254833221436
262,2.945160150527954
263,2.865628957748413
264,1.9137167930603027
265,2.0957958698272705
266,1.9843804836273193
267,1.9058074951171875
268,2.0446877479553223
269,1.8379268646240234
270,1.014821171760559
271,1.0939404964447021
272,1.2167844772338867
273,1.0419787168502808
274,1.1454554796218872
275,0.9879262447357178
276,2.1978952884674072
277,2.196523427963257
278,2.085697889328003
279,2.2620205879211426
280,2.2049741744995117
281,2.2122347354888916
282,1.3531224727630615
283,1.402825117111206
284,1.2867976427078247
285,1.2778382301330566
286,1.4369310140609741
287,1.4708691835403442
288,2.1890361309051514
289,2.3420157432556152
290,2.1389412879943848
291,2.2712793350219727
292,2.2278573513031006
293,2.3577563762664795
294,2.225003480911255
295,2.1795454025268555
296,2.159846782684326
297,2.2769827842712402
298,2.2227768898010254
299,2.070390462875366
300,2.049424171447754
301,2.1045985221862793
302,2.0026116371154785
303,1.9792884588241577
304,2.1221187114715576
305,2.0924088954925537
306,1.9984060525894165
307,2.1371848583221436
308,2.1547632217407227
309,2.0279862880706787
310,1.9919575452804565
311,2.0193920135498047
312,2.1215920448303223
313,2.115710973739624
314,2.101825714111328
315,2.1273980140686035
316,2.0609161853790283
317,2.098672389984131
318,2.132838726043701
319,1.639726161956787
320,1.566298007965088
321,1.6204588413238525
322,1.599615216255188
323,1.5633776187896729
324,1.5524179935455322
325,1.1292192935943604
326,1.0705909729003906
327,1.0437533855438232
328,1.0713930130004883
329,1.1404953002929688
330,1.089946985244751
331,1.0905412435531616
332,1.1310135126113892
333,1.1142220497131348
334,1.1411253213882446
335,1.0973931550979614
336,1.027695655822754
337,1.666709303855896
338,1.6161774396896362
339,1.735004186630249
340,1.7194808721542358
341,1.4624069929122925
342,1.7242152690887451
343,1.1404926776885986
344,1.010074257850647
345,1.0665682554244995
346,1.2436983585357666
347,1.085471510887146
348,1.0428365468978882
349,2.0798447132110596
350,2.0033724308013916
351,1.9201246500015259
352,1.945633888244629
353,1.8755329847335815
354,1.89678955078125
355,2.896904468536377
356,2.9369075298309326
357,2.924302816390991
358,2.857126474380493
359,2.8799877166748047
360,2.941959857940674
361,2.895111322402954
362,3.027881145477295
363,1.9601311683654785
364,1.8881750106811523
365,1.8673838376998901
366,1.9184703826904297
367,1.9782068729400635
368,1.9064898490905762
369,1.8664798736572266
370,1.9884264469146729
371,1.8965740203857422
372,1.88277006149292
373,2.0531833171844482
374,1.9235990047454834
375,1.8480494022369385
376,1.8355010747909546
377,2.04067325592041
378,2.4641599655151367
379,2.5952415466308594
380,2.605637311935425
381,2.59744930267334
382,2.6922383308410645
383,2.753809928894043
384,2.6348297595977783
385,2.542937755584717
386,2.5284602642059326
387,2.5056986808776855
388,2.3850154876708984
389,2.3738205432891846
390,2.459902763366699
391,2.3336331844329834
392,2.4751157760620117
393,2.5084776878356934
394,2.3881614208221436
395,2.440474271774292
396,2.4004361629486084
397,0.7378624677658081
398,0.719147801399231
399,0.6181036233901978
400,0.804773211479187
401,0.6790581345558167
402,0.6031956672668457
403,3.4424095153808594
404,3.323420524597168
405,3.221895456314087
406,3.2695565223693848
407,3.4322080612182617
408,3.4117794036865234
409,3.3176872730255127
410,3.4047718048095703
411,3.3403494358062744
412,3.344825029373169
413,3.3122289180755615
414,3.32309627532959
415,2.123006820678711
416,2.164669990539551
417,2.025216817855835
418,2.0061590671539307
419,2.208009958267212
420,2.0714662075042725
421,1.4673587083816528
422,1.5385801792144775
423,1.4828040599822998
424,1.3029627799987793
425,1.5419679880142212
426,0.7515924572944641
427,0.7071056365966797
428,0.7939242720603943
429,0.7228109836578369
430,0.6149564981460571
431,0.6524859666824341
432,3.219561815261841
433,3.093369722366333
434,3.04441237449646
435,3.1038036346435547
436,2.9200637340545654
437,3.116032123565674
438,1.6980171203613281
439,1.8215441703796387
440,1.8068441152572632
441,1.9123904705047607
442,2.1283535957336426
443,1.647010326385498
444,2.672229051589966
445,2.676429033279419
446,2.779709815979004
447,2.5946102142333984
448,2.542526960372925
449,2.6491756439208984
450,2.0996885299682617
451,2.1361942291259766
452,2.1518075466156006
453,2.006643772125244
454,2.016738176345825
455,2.093114137649536
456,2.1206579208374023
457,1.948132872581482
458,1.9866864681243896
459,1.2185983657836914
460,1.179660677909851
461,1.17995023727417
462,0.9889135956764221
463,1.0126001834869385
464,1.2634353637695312
465,1.2636539936065674
466,1.3341014385223389
467,2.5454294681549072
468,2.857228994369507
469,2.7672617435455322
470,2.6654534339904785
471,2.5856165885925293
472,2.787733554840088
473,2.4325687885284424
474,1.9058380126953125
475,1.7899816036224365
476,1.5749520063400269
477,2.0663139820098877
478,1.6135903596878052
479,1.7719109058380127
480,1.653300404548645
481,1.5523183345794678
482,1.2059069871902466
483,0.8488704562187195
484,0.6009610891342163
485,2.5457229614257812
486,1.8258090019226074
487,1.3175280094146729
488,1.2884564399719238
489,1.4551992416381836
490,1.322990894317627
491,1.3871967792510986
492,1.3583327531814575
493,1.4404568672180176
494,1.3898965120315552
495,1.3614513874053955
496,3.2548980712890625
497,3.2916364669799805
498,3.3922319412231445
499,3.514394521713257
500,3.327697992324829
501,3.358154296875
502,3.4898836612701416
503,3.5162606239318848
504,3.227468967437744
505,3.4529495239257812
506,3.543691873550415
507,3.323154926300049
508,3.3942575454711914
509,0.8316405415534973
510,0.7464916110038757
511,0.600919783115387
512,0.7973889708518982
513,0.6445264220237732
514,0.5757927298545837
515,1.8567596673965454
516,1.7589768171310425
517,1.7241512537002563
518,2.0013787746429443
519,1.795920968055725
520,2.682577133178711
521,2.8090648651123047
522,2.6643733978271484
523,2.6899380683898926
524,2.6000702381134033
525,3.064284563064575
526,3.0917840003967285
527,2.704958438873291
528,2.9249589443206787
529,2.8746633529663086
530,2.931511640548706
531,2.89874267578125
532,3.0160410404205322
533,2.985934257507324
534,2.739136219024658
535,2.7766599655151367
536,2.734555244445801
537,1.198026418685913
538,1.077086091041565
539,1.0427560806274414
540,1.012677788734436
541,1.0034847259521484
542,1.0754821300506592
543,2.664689064025879
544,2.498526096343994
545,2.7622671127319336
546,2.630922317504883
547,1.1112898588180542
548,1.341583013534546
549,1.2040627002716064
550,0.8924680352210999
551,0.9918742179870605
552,1.1203737258911133
553,2.8219680786132812
554,2.4442005157470703
555,2.914951801300049
556,2.517050266265869
557,2.508392810821533
558,2.656859874725342
559,2.4873881340026855
560,2.49183988571167
561,2.433271884918213
562,2.7915477752685547
563,2.554326057434082
564,4.029176235198975
565,3.7036445140838623
566,3.481954574584961
567,3.502297878265381
568,3.0927724838256836
569,3.6972947120666504
570,4.142056465148926
571,4.45679235458374
572,4.341062068939209
573,4.287415027618408
574,4.334831714630127
575,4.16480016708374
576,4.278133869171143
577,4.318560600280762
578,2.365773916244507
579,2.4015774726867676
580,2.391160488128662
581,2.4472298622131348
582,2.3363900184631348
583,2.3232200145721436
584,2.4299964904785156
585,2.5240602493286133
586,1.6381337642669678
587,1.670613169670105
588,1.7295756340026855
589,1.5999058485031128
590,1.714056372642517
591,1.6118930578231812
592,1.1535903215408325
593,1.1004456281661987
594,1.1928032636642456
595,1.1243536472320557
596,1.025242567062378
597,1.0860862731933594
598,1.8210644721984863
599,1.7435665130615234
600,1.7728588581085205
601,1.742390751838684
602,1.7528995275497437
603,1.8188153505325317
604,2.089416265487671
605,2.115185022354126
606,2.0746631622314453
607,2.0362565517425537
608,2.166120767593384
609,2.2258858680725098
610,2.186725616455078
611,1.9885345697402954
612,2.1083998680114746
613,2.154623031616211
614,2.1089446544647217
615,2.063925266265869
616,2.1212880611419678
617,2.0505309104919434
618,2.1647820472717285
619,2.113833427429199
620,2.0305988788604736
621,1.596393346786499
622,1.5893025398254395
623,1.5862232446670532
624,1.611683964729309
625,1.5965346097946167
626,1.647371768951416
627,1.0910670757293701
628,1.0925281047821045
629,1.0896227359771729
630,1.1120567321777344
631,1.0722944736480713
632,1.1299524307250977
633,1.8001590967178345
634,1.775055170059204
635,1.8239344358444214
636,1.792989730834961
637,1.7428001165390015
638,1.7919037342071533
639,2.1055941581726074
640,2.0941433906555176
641,2.0390396118164062
642,2.107621192932129
643,2.1046853065490723
644,2.0929808616638184
645,2.308382272720337
646,2.3274617195129395
647,2.3603785037994385
648,2.2700252532958984
649,2.2870852947235107
650,2.2616608142852783
651,2.2491114139556885
652,1.4586126804351807
653,1.3478846549987793
654,1.3999966382980347
655,1.4135466814041138
656,1.3994282484054565
657,1.3901475667953491
658,1.4225322008132935
659,1.4259858131408691
660,1.4561562538146973
661,1.4041727781295776
662,1.437254548072815
663,1.3404109477996826
664,0.6799941062927246
665,0.673360288143158
666,0.6958100199699402
667,0.7095367908477783
668,0.7187002301216125
669,0.7056768536567688
670,3.0545291900634766
671,3.098456859588623
672,3.144188642501831
673,3.0945184230804443
674,3.0483779907226562
675,2.039259195327759
676,2.081256151199341
677,2.1071436405181885
678,2.0760416984558105
679,2.0473766326904297
680,2.0562446117401123
681,2.0670218467712402
682,2.0192720890045166
683,2.109387159347534
684,2.3686959743499756
685,2.3866159915924072
686,2.3797295093536377
687,2.407057046890259
688,2.367637872695923
689,2.4213030338287354
690,2.3633573055267334
691,2.348397970199585
692,2.3868565559387207
693,2.4272940158843994
694,2.3699162006378174
695,2.1870291233062744
696,2.3478469848632812
697,2.3042330741882324
698,2.343714714050293
699,2.605949878692627
700,2.677165985107422
701,2.6717755794525146
702,1.1205735206604004
703,1.1581506729125977
704,1.1529409885406494
705,1.7808029651641846
706,1.8547645807266235
707,1.8152610063552856
708,1.702195167541504
709,1.8044289350509644
710,1.7881042957305908
711,1.0814727544784546
712,1.0636800527572632
713,1.074181079864502
714,1.1260147094726562
715,1.014664888381958
716,1.143505334854126
717,2.7066221237182617
718,2.6437227725982666
719,2.7221009731292725
720,2.688830614089966
721,2.701035737991333
722,2.700327157974243
723,3.0620505809783936
724,3.0899791717529297
725,2.954529285430908
726,3.0170061588287354
727,3.11942458152771
728,3.0578596591949463
729,1.4602488279342651
730,1.394456386566162
731,1.3544671535491943
732,1.4169684648513794
733,1.3644803762435913
734,1.397122859954834
735,1.445106029510498
736,1.4161854982376099
737,1.3463882207870483
738,3.176429033279419
739,3.1988413333892822
740,3.1673202514648438
741,3.1805286407470703
742,3.2120718955993652
743,3.1319479942321777
744,3.065685749053955
745,3.025118827819824
746,2.94193696975708
747,3.04500150680542
748,3.0685458183288574
749,2.986123561859131
750,3.051147222518921
751,2.9255154132843018
752,3.097700595855713
753,3.01308012008667
754,2.927582263946533
755,3.007676362991333
756,2.9762141704559326
757,2.9817252159118652
758,2.9229416847229004
759,2.9989938735961914
760,2.9825680255889893
761,2.9347264766693115
762,3.0392580032348633
763,3.029585361480713
764,2.8577051162719727
765,2.891568183898926
766,2.8045766353607178
767,2.935643434524536
768,2.9025533199310303
769,2.8526997566223145
770,2.832873821258545
771,2.884244918823242
772,2.836486339569092
773,1.6619540452957153
774,1.7402807474136353
775,1.850682258605957
776,1.8182939291000366
777,1.6995187997817993
778,1.8643378019332886
779,1.2131494283676147
780,1.056762933731079
781,1.1230614185333252
782,1.0593242645263672
783,1.1303879022598267
784,1.0995603799819946
785,1.5903552770614624
786,1.6454461812973022
787,1.629286289215088
788,1.4972387552261353
789,1.5845876932144165
790,1.1037061214447021
791,1.1284319162368774
792,1.1289522647857666
793,1.1282883882522583
794,1.1423362493515015
795,1.202053427696228
796,1.125981330871582
797,1.1112037897109985
798,2.6323838233947754
799,2.6512017250061035
800,2.7249417304992676
801,2.648634672164917
802,2.701202392578125
803,2.6878890991210938
804,2.8815784454345703
805,2.81937837600708
806,2.608543872833252
807,2.769646167755127
808,2.6686582565307617
809,2.8192129135131836
810,2.710808753967285
811,2.6592819690704346
812,2.680199384689331
813,1.3558027744293213
814,1.4013822078704834
815,1.4046788215637207
816,1.3229613304138184
817,1.355818748474121
818,1.3457120656967163
819,2.3409295082092285
820,2.32169771194458
821,2.2470240592956543
822,2.278453826904297
823,2.3272204399108887
824,2.2963147163391113
825,2.031411647796631
826,2.0654077529907227
827,2.090787887573242
828,2.0744569301605225
829,2.1171836853027344
830,1.9867900609970093
831,2.0671801567077637
832,2.1861376762390137
833,2.0153465270996094
834,1.8748044967651367
835,1.7747174501419067
836,1.8147774934768677
837,1.9667150974273682
838,1.735653042793274
839,1.7804166078567505
840,1.3490363359451294
841,1.4805597066879272
842,1.3917346000671387
843,1.493160367012024
844,2.4637162685394287
845,2.5289363861083984
846,2.452122211456299
847,2.5621132850646973
848,2.4699935913085938
849,2.545219898223877
850,2.5346646308898926
851,2.5408101081848145
852,2.5248022079467773
853,2.0958356857299805
854,2.105746269226074
855,1.9685803651809692
856,1.953168511390686
857,2.0189828872680664
858,1.9864158630371094
859,2.2080445289611816
860,2.06980562210083
861,2.119870662689209
862,2.0546035766601562
863,2.0081663131713867
864,2.161396026611328
865,1.8757128715515137
866,1.892173171043396
867,1.7650110721588135
868,3.079345703125
869,2.962493896484375
870,2.9398181438446045
871,2.836121082305908
872,2.7686879634857178
873,2.091301441192627
874,1.8648678064346313
875,1.9843711853027344
876,1.5782015323638916
877,1.3015084266662598
878,2.712705135345459
879,2.553090810775757
880,2.4514262676239014
881,1.8051092624664307
882,2.8621788024902344
883,3.1793277263641357
884,3.1106462478637695
885,3.096829891204834
886,3.01218318939209
887,2.8805227279663086
888,3.100799083709717
889,3.7283830642700195
890,3.6910619735717773
891,3.659536838531494
892,3.558694362640381
893,3.610370635986328
894,3.5882582664489746
895,2.232616424560547
896,1.9989063739776611
897,2.067619562149048
898,2.1464550495147705
899,2.1851096153259277
900,2.00787091255188
901,1.686281681060791
902,1.7229838371276855
903,1.6104612350463867
904,1.5796900987625122
905,1.547478437423706
906,1.5617624521255493
907,1.55125892162323
908,1.562819004058838
909,1.4374762773513794
910,1.3565086126327515
911,1.4189517498016357
912,1.4291094541549683
913,1.5916056632995605
914,1.3928223848342896
915,2.4680635929107666
916,2.301974296569824
917,2.4550697803497314
918,2.689087390899658
919,2.415975570678711
920,2.3484692573547363
921,2.3545100688934326
922,2.3743884563446045
923,2.280848503112793
924,2.3152871131896973
925,2.5022809505462646
926,2.335495710372925
927,2.337038040161133
928,2.718947410583496
929,2.7574827671051025
930,2.8099186420440674
931,2.713407039642334
932,1.3667166233062744
933,1.4364738464355469
934,1.3331305980682373
935,1.398911952972412
936,1.3538758754730225
937,1.4015204906463623
938,1.3439862728118896
939,1.2835569381713867
940,1.3945326805114746
941,1.77659010887146
942,1.8074754476547241
943,1.6861594915390015
944,1.8257250785827637
945,1.7054774761199951
946,1.6493324041366577
947,1.608127474784851
948,1.7284817695617676
949,1.6810158491134644
950,2.0078675746917725
951,2.0789828300476074
952,1.9398374557495117
953,1.7088812589645386
954,1.7273179292678833
955,1.7608928680419922
956,1.8012865781784058
957,2.459652900695801
958,2.5128073692321777
959,2.3604648113250732
960,2.444246292114258
961,2.4373931884765625
962,1.4883482456207275
963,1.2081892490386963
964,1.3599987030029297
965,1.5394883155822754
966,1.3775393962860107
967,0.6421332359313965
968,0.8154861927032471
969,0.6555922031402588
970,1.9908521175384521
971,1.713799238204956
972,1.8483095169067383
973,1.750388264656067
974,1.8827886581420898
975,1.4605138301849365
976,1.2842854261398315
977,1.4363961219787598
978,1.3491926193237305
979,1.4133014678955078
980,1.4141539335250854
981,2.1968986988067627
982,2.1392645835876465
983,2.2050058841705322
984,2.879117488861084
985,2.8545587062835693
986,2.9012534618377686
987,2.781726121902466
988,2.92524790763855
989,2.882526159286499
990,2.9170305728912354
991,2.9022462368011475
992,2.8878116607666016
993,2.9079160690307617
994,2.7915117740631104
995,3.089252471923828
996,1.1346144676208496
997,1.047806978225708
998,1.1796202659606934
999,1.064173936843872
1000,1.082604169845581
1001,1.168105125427246
1002,1.1487425565719604
1003,1.1269557476043701
1004,1.093468427658081
1005,2.429450035095215
1006,2.547367572784424
1007,2.7004261016845703
1008,2.613396644592285
1009,2.6580677032470703
1010,2.604813814163208
1011,2.5695931911468506
1012,2.5636401176452637
1013,2.592832565307617
1014,2.7502150535583496
1015,2.5872631072998047
1016,0.9788731932640076
1017,1.1748218536376953
1018,1.1156530380249023
1019,1.148033618927002
1020,1.0283281803131104
1021,1.374488115310669
1022,1.1596676111221313
1023,1.0867807865142822
1024,3.01277494430542
1025,2.999171018600464
1026,3.0110769271850586
1027,3.060314178466797
1028,2.8340163230895996
1029,3.093513011932373
1030,1.5989524126052856
1031,1.677336573600769
1032,1.6019554138183594
1033,1.5905407667160034
1034,1.599563717842102
1035,1.6990371942520142
1036,1.3477705717086792
1037,1.3601566553115845
1038,1.2360129356384277
1039,1.434831142425537
1040,1.2268550395965576
1041,1.409337043762207
1042,2.0111427307128906
1043,1.813697338104248
1044,1.9209003448486328
1045,2.158656597137451
1046,1.8675538301467896
1047,1.9093066453933716
1048,1.9605834484100342
1049,1.7612556219100952
1050,2.2068824768066406
1051,1.1149145364761353
1052,0.8761635422706604
1053,1.8036843538284302
1054,1.8469105958938599
1055,1.7344914674758911
1056,1.828826904296875
1057,1.7579879760742188
1058,1.749133586883545
1059,1.8635404109954834
1060,1.8349822759628296
1061,1.7336763143539429
1062,1.7758383750915527
1063,2.0539193153381348
1064,1.7981541156768799
1065,1.5605790615081787
1066,1.6800099611282349
1067,2.7227845191955566
1068,2.7625372409820557
1069,2.8790066242218018
1070,2.823000907897949
1071,2.6866295337677
1072,2.40539288520813
1073,1.9209548234939575
1074,2.062832832336426
1075,1.8474701642990112
1076,1.9273953437805176
1077,1.70652174949646
1078,2.0636074542999268
1079,2.0428550243377686
1080,2.0129191875457764
1081,1.9003732204437256
1082,1.9849711656570435
1083,1.989867925643921
1084,1.8325905799865723
1085,1.8369799852371216
1086,2.2621984481811523
1087,2.3565421104431152
1088,2.3130829334259033
1089,2.463749647140503
1090,2.4253365993499756
1091,2.050283432006836
1092,2.508322238922119
1093,2.355668783187866
1094,2.2889609336853027
1095,2.3013346195220947
1096,2.362746000289917
1097,2.3182766437530518
1098,2.564715623855591
1099,2.2926764488220215
1100,2.218334913253784
1101,1.0297290086746216
1102,1.135119080543518
1103,1.074295997619629
1104,1.1743158102035522
1105,1.0759563446044922
1106,0.9865769147872925
1107,2.812218189239502
1108,3.0420260429382324
1109,2.741314649581909
1110,2.6209683418273926
1111,2.947937250137329
1112,2.675074577331543
1113,2.5794577598571777
1114,2.71584415435791
1115,2.7537105083465576
1116,1.347772240638733
1117,1.1694631576538086
1118,1.394018530845642
1119,1.5211669206619263
1120,1.3465361595153809
1121,1.5562872886657715
1122,1.9193847179412842
1123,2.0849976539611816
1124,1.7998486757278442
1125,1.861066222190857
1126,1.8673350811004639
1127,1.9321961402893066
1128,1.7449467182159424
1129,1.9459664821624756
1130,1.7970722913742065
1131,1.8086942434310913
1132,1.8101221323013306
1133,1.9340593814849854
1134,1.897784948348999
1135,1.6897045373916626
1136,1.795384168624878
1137,1.9185962677001953
1138,1.9186383485794067
1139,1.8371899127960205
1140,2.026475191116333
1141,1.895585536956787
1142,2.0167112350463867
1143,1.9339970350265503
1144,1.9963420629501343
1145,1.7655551433563232
1146,1.8436132669448853
1147,1.899399995803833
1148,1.6808704137802124
1149,1.7718068361282349
1150,1.8825688362121582
1151,1.7868103981018066
1152,1.747098445892334
1153,1.6151705980300903
1154,2.947539806365967
1155,2.9483978748321533
1156,3.1438612937927246
1157,2.956641912460327
1158,2.922959804534912
1159,3.016031265258789
1160,3.1848714351654053
1161,3.0952606201171875
1162,2.9803504943847656
1163,3.0637056827545166
1164,3.0226492881774902
1165,3.052846670150757
1166,2.947465181350708
1167,2.7544541358947754
1168,2.9285154342651367
1169,2.94008207321167
1170,2.9667837619781494
1171,3.1356239318847656
1172,2.1927552223205566
1173,2.0669808387756348
1174,2.0980401039123535
1175,2.0625674724578857
1176,1.9413232803344727
1177,2.1139168739318848
1178,1.5845866203308105
1179,2.0411720275878906
1180,1.90692138671875
1181,2.001443862915039
1182,1.8425853252410889
1183,1.7013213634490967
1184,0.610694169998169
1185,0.5956707000732422
1186,0.6692861914634705
1187,0.6896410584449768
1188,0.6303526163101196
1189,0.7435505390167236
1190,2.136956214904785
1191,2.478090286254883
1192,2.282896041870117
1193,2.6286466121673584
1194,2.336642026901245
1195,2.241102695465088
1196,1.5294349193572998
1197,1.6026467084884644
1198,1.7204210758209229
1199,1.4432815313339233
1200,1.6170306205749512
1201,1.6594314575195312
1202,2.8543457984924316
1203,2.6324164867401123
1204,2.658700942993164
1205,2.6489200592041016
1206,2.813948154449463
1207,2.7306671142578125
1208,2.713992118835449
1209,2.761054754257202
1210,2.6613378524780273
1211,2.6543989181518555
1212,2.695199728012085
1213,2.041663646697998
1214,2.038339138031006
1215,2.049767017364502
1216,1.9168031215667725
1217,2.0699996948242188
1218,2.151007652282715
1219,2.2045300006866455
1220,2.1329760551452637
1221,2.1648435592651367
1222,1.9722696542739868
1223,1.9884523153305054
1224,2.5934433937072754
1225,2.601926326751709
1226,2.573009490966797
1227,2.6345744132995605
1228,2.6196529865264893
1229,2.532027006149292
1230,2.6795811653137207
1231,2.6289236545562744
1232,2.5343756675720215
1233,2.4967851638793945
1234,2.657278537750244
1235,2.5948286056518555
1236,2.559633731842041
1237,2.495816469192505
1238,2.514803409576416
1239,2.601438283920288
1240,2.551682472229004
1241,2.668814182281494
1242,2.718191623687744
1243,2.775087833404541
